,MAE,RMSE,sMAPE,Directional Accuracy
SARIMA,3.569976700056885,4.524490678217446,8.326217206680205,43.97496087636933
SARIMAX,2.097346910449126,2.913487860474891,4.91260944762864,50.23474178403756
LSTM,1.7684082623185782,2.939168549926423,4.162600780424086,49.6551724137931
